void,subject_id,segment,segment_number,mean_heart_rate,rsp_rate,rsp_peak_freq,resp_amp,rsp_power,mean_ibi,rsa,sdnn,avnn,rmssd,nn50,pnn50,filename
,2,A2,3,83.25,9.18,0.15,8.07,19.52,720.69,6.65,65.42,720.69,37.48,13,16.05,Subject 002 A2.xlsx
,2,A2,4,76.43,14.1,0.23,2.35,6.1,785.06,6.57,70.92,785.06,39.4,16,21.33,Subject 002 A2.xlsx
,2,A2,5,75.27,7.26,0.12,2.35,3.36,797.11,6.29,55.88,797.11,43.78,19,26.03,Subject 002 A2.xlsx
,2,A2,6,78.33,22.46,0.37,17.32,26.69,765.95,5.49,49.28,765.95,38.17,12,15.79,Subject 002 A2.xlsx
,2,A2,7,75.85,19.38,0.32,22.5,30.39,791,6.22,42.66,791,40.06,15,20.27,Subject 002 A2.xlsx
,2,A2,8,77.4,21.65,0.36,6.9,20.6,775.22,6.88,64.86,775.22,40.01,13,17.33,Subject 002 A2.xlsx
,2,A2,9,74.14,18.96,0.32,28.89,37.1,809.29,6.32,34.27,809.29,37.76,17,23.29,Subject 002 A2.xlsx
,2,A2,10,77.91,18.58,0.31,14.89,22.49,770.13,6.19,46.62,770.13,39.16,15,20,Subject 002 A2.xlsx
,2,A3,1,74.22,19.39,0.32,28.34,68.17,808.39,6.76,60.58,808.39,40.92,18,25,Subject 002 A3.xlsx
,2,A3,2,74.44,16.1,0.27,34.56,63.08,805.99,6.68,62.03,805.99,47.35,20,27.78,Subject 002 A3.xlsx
,2,A3,3,76.61,17.65,0.29,56,69.72,783.21,6.52,50.87,783.21,39.14,17,22.67,Subject 002 A3.xlsx
,2,A3,4,76.67,18.2,0.3,18.84,35.73,782.6,6.24,41.9,782.6,37.75,15,20.27,Subject 002 A3.xlsx
,2,A3,5,79.37,16.48,0.27,20.46,28.67,755.95,5.23,38.25,755.95,32,12,15.38,Subject 002 A3.xlsx
,2,A3,6,78.15,16.22,0.27,9.06,22.18,767.71,6.41,49.75,767.71,37.62,14,18.42,Subject 002 A3.xlsx
,2,A3,7,78.43,18.06,0.3,14.83,33.48,765,5.88,37.69,765,36.98,15,19.74,Subject 002 A3.xlsx
,2,A3,8,78.59,20.67,0.34,9.44,21.13,763.46,5.81,47.41,763.46,37.72,15,19.48,Subject 002 A3.xlsx
,2,A3,9,73.56,16.47,0.27,10.34,16.49,815.61,7.14,69.29,815.61,52.64,30,42.25,Subject 002 A3.xlsx
,2,A3,10,77.92,16.02,0.27,8.19,16.68,770.04,6.19,54.77,770.04,38.6,18,23.68,Subject 002 A3.xlsx
,2,A4,1,78.02,15.05,0.25,7.19,8.43,769.04,6.27,71.25,769.04,38.27,15,19.74,Subject 002 A4.xlsx
,2,A4,2,77.65,20.8,0.35,10.82,21,772.67,6.45,42.64,772.67,39.81,15,19.74,Subject 002 A4.xlsx
,2,A4,3,75.25,19.37,0.32,7.88,14.42,797.32,6.61,48.67,797.32,40.08,14,19.18,Subject 002 A4.xlsx
,2,A4,4,77.7,21.65,0.36,8.42,18.8,772.16,6.78,61.22,772.16,46.86,27,35.53,Subject 002 A4.xlsx
,2,A4,5,78.57,18.25,0.3,21.02,30.65,763.69,6.87,62.87,763.69,53.79,31,40.26,Subject 002 A4.xlsx
,2,A4,6,78.2,19.82,0.33,16.75,31.18,767.23,6.88,45.79,767.23,46.03,24,31.58,Subject 002 A4.xlsx
,2,A4,7,74.65,21.46,0.36,17.23,24.99,803.71,7.16,63.52,803.71,64.73,35,47.95,Subject 002 A4.xlsx
,2,A4,8,79.11,7.11,0.12,12.76,22.38,758.43,6.38,59.35,758.43,40.2,20,25.97,Subject 002 A4.xlsx
,2,A4,9,76.48,20.64,0.34,18.66,21.7,784.52,6.45,42.81,784.52,48.17,28,37.84,Subject 002 A4.xlsx
,2,A4,10,76.61,20.8,0.35,12.48,27.81,783.18,6.46,50.12,783.18,47.54,25,33.33,Subject 002 A4.xlsx
,2,A4,11,76.46,20.56,0.34,24.51,32.76,784.71,6.02,55.19,784.71,39.99,18,25.71,Subject 002 A4.xlsx
,4,A1,1,74.72,6.31,0.11,27.46,26.01,803.04,7.79,81.28,803.04,78.85,31,43.06,Subject 004 A1.xlsx
,4,A1,2,69.31,12.18,0.2,119.83,179.61,865.65,7.46,56.19,865.65,61.34,27,39.71,Subject 004 A1.xlsx
,4,A1,3,67.83,13.02,0.22,160.71,184.47,884.62,7.06,47.25,884.62,51.81,22,33.33,Subject 004 A1.xlsx
,4,A1,4,67.53,11.04,0.18,78.64,230.24,888.5,8.51,80,888.5,74.35,27,41.54,Subject 004 A1.xlsx
,4,A1,5,66.2,13.41,0.22,99.02,137.4,906.28,8.04,67.65,906.28,70.62,34,53.12,Subject 004 A1.xlsx
,4,A1,6,66.81,13.11,0.22,153.09,194.34,898.04,8.11,79.62,898.04,89.09,25,38.46,Subject 004 A1.xlsx
,4,A1,7,67.52,12,0.2,160.99,223.79,888.64,8.71,110.75,888.64,120.54,40,60.61,Subject 004 A1.xlsx
,4,A1,8,68.1,12.11,0.2,112.43,224.9,881.12,7.56,91.49,881.12,75.35,28,42.42,Subject 004 A1.xlsx
,4,A1,9,67.35,12.81,0.21,144.71,254.55,890.84,8.46,84.86,890.84,92.92,40,60.61,Subject 004 A1.xlsx
,4,A1,10,66.21,14.11,0.24,204.07,245.24,906.27,7.56,68.29,906.27,83.57,36,56.25,Subject 004 A1.xlsx
,4,A2,1,70.06,7.76,0.13,27.34,53.24,856.41,8.88,105.81,856.41,95.83,30,44.12,Subject 004 A2.xlsx
,4,A2,2,71.85,8.42,0.14,49.35,71.4,835.07,8.55,99.36,835.07,95.98,35,50.72,Subject 004 A2.xlsx
,4,A2,3,67.62,7.17,0.12,48.78,80.2,887.37,8.53,84.53,887.37,74.74,33,50,Subject 004 A2.xlsx
,4,A2,4,68.45,13.99,0.23,102.93,139.02,876.58,8.23,66.39,876.58,78.65,38,56.72,Subject 004 A2.xlsx
,4,A2,5,66.98,14.73,0.25,52.6,128.85,895.72,8.07,76.19,895.72,85.03,40,62.5,Subject 004 A2.xlsx
,4,A2,6,67.45,13.77,0.23,87.79,129.8,889.6,8.06,83.75,889.6,92.49,39,59.09,Subject 004 A2.xlsx
,4,A2,7,73.91,10.26,0.17,33.04,86.12,811.79,7.87,95.47,811.79,69.41,25,34.72,Subject 004 A2.xlsx
,4,A2,8,73.07,11.84,0.2,19.35,40.9,821.15,8.47,85.94,821.15,84.01,35,49.3,Subject 004 A2.xlsx
,4,A2,9,72.11,15.92,0.27,23.85,55.78,832.04,7.88,84.87,832.04,89.74,38,54.29,Subject 004 A2.xlsx
,4,A2,10,69.93,15.12,0.25,46.28,68.07,857.97,8.04,77.29,857.97,90.08,37,54.41,Subject 004 A2.xlsx
,4,A2,11,69.27,12.18,0.2,48.32,88.45,866.15,8.75,84.29,866.15,93.31,39,58.21,Subject 004 A2.xlsx
,4,A2,12,70.69,13.16,0.22,60.41,97.79,848.75,8.21,91.95,848.75,93.86,35,50.72,Subject 004 A2.xlsx
,4,A2,13,71.81,8.74,0.15,31.29,75.97,835.58,8.32,105.18,835.58,84.81,26,44.07,Subject 004 A2.xlsx
,4,A3,1,67.7,15.21,0.25,42.03,88.65,886.29,7.68,65.63,886.29,75.68,38,57.58,Subject 004 A3.xlsx
,4,A3,2,67.08,13.35,0.22,74.72,122.49,894.49,8.16,69.03,894.49,81.25,42,64.62,Subject 004 A3.xlsx
,4,A3,3,68.36,14.18,0.24,79.96,119.97,877.76,8.34,79.99,877.76,86.56,36,53.73,Subject 004 A3.xlsx
,4,A3,4,70.18,7.27,0.12,53.41,85.37,854.93,7.68,106.88,854.93,83.34,29,42.65,Subject 004 A3.xlsx
,4,A3,5,74.6,13.53,0.23,26.45,70.18,804.31,8.25,84.25,804.31,79.88,33,45.21,Subject 004 A3.xlsx
,4,A3,6,72.83,12.25,0.2,26.53,62.68,823.78,7.67,78.48,823.78,84,38,53.52,Subject 004 A3.xlsx
,4,A3,7,69.7,13.76,0.23,36.87,58.36,860.83,8.27,80.29,860.83,91.34,33,48.53,Subject 004 A3.xlsx
,4,A3,8,69.84,15.54,0.26,24.88,52.93,859.07,7.76,82.58,859.07,88.33,41,60.29,Subject 004 A3.xlsx
,4,A3,9,69.73,12.96,0.22,70.14,94.33,860.51,8.34,88.96,860.51,88.55,32,47.06,Subject 004 A3.xlsx
,4,A3,10,71.21,8.84,0.15,44.52,81.52,842.6,8.59,101.56,842.6,94.06,36,52.17,Subject 004 A3.xlsx
,4,A3,11,74.78,9.28,0.15,13.69,9.37,802.31,5.28,111.51,802.31,55.41,2,28.57,Subject 004 A3.xlsx
,4,A4,1,71.16,9.93,0.17,15.72,37.7,843.14,7.88,93.6,843.14,76.35,24,34.78,Subject 004 A4.xlsx
,4,A4,2,69.4,8.93,0.15,44.02,74.38,864.55,8.12,96.84,864.55,76.8,29,43.28,Subject 004 A4.xlsx
,4,A4,3,71.23,7.25,0.12,119.53,177.01,842.31,8.18,101.3,842.31,88.06,34,49.28,Subject 004 A4.xlsx
,4,A4,4,72.3,9.83,0.16,44.86,103.23,829.83,8.77,104.85,829.83,98.79,27,38.57,Subject 004 A4.xlsx
,4,A4,5,71.19,12.1,0.2,68.12,148.59,842.79,8.63,96.5,842.79,101.8,36,52.17,Subject 004 A4.xlsx
,4,A4,6,74.46,8.35,0.14,64.54,147.53,805.84,8.43,96.04,805.84,94.4,33,45.21,Subject 004 A4.xlsx
,4,A4,7,69.97,13.38,0.22,191.7,245.07,857.55,8.36,84.81,857.55,94.04,38,55.88,Subject 004 A4.xlsx
,4,A4,8,72.8,14.81,0.25,107.01,229.61,824.15,7.95,86.93,824.15,83.69,36,50.7,Subject 004 A4.xlsx
,4,A4,9,70.54,14.35,0.24,43.73,79.37,850.54,8.33,93.66,850.54,97.34,34,50,Subject 004 A4.xlsx
,4,A4,10,68.64,13.59,0.23,161.07,247.18,874.18,8.52,73.52,874.18,86.48,37,55.22,Subject 004 A4.xlsx
,5,A1,1,82.73,20.93,0.35,21.05,43.92,725.23,5.41,36.36,725.23,21.28,2,2.5,subject 005 A1.xlsx
,5,A1,2,81.38,7.39,0.12,60.2,102.47,737.25,6.9,67.19,737.25,30.06,8,10,subject 005 A1.xlsx
,5,A1,3,83.78,11.11,0.19,29.78,47.17,716.13,5.89,52.6,716.13,21.89,2,2.47,subject 005 A1.xlsx
,5,A1,4,81.21,13.87,0.23,36.37,51.5,738.87,6.34,55.47,738.87,23.59,3,3.75,subject 005 A1.xlsx
,5,A1,5,78.31,10.11,0.17,38.1,73.73,766.19,5.79,62.19,766.19,23.31,2,2.63,subject 005 A1.xlsx
,5,A1,6,84.52,7.89,0.13,15.94,27.8,709.93,5.28,36.71,709.93,21.87,2,2.44,subject 005 A1.xlsx
,5,A1,7,84.94,7.38,0.12,18.41,29.53,706.34,5.26,32.86,706.34,20.11,0,0,subject 005 A1.xlsx
,5,A1,8,87.05,11.1,0.18,46.17,111.78,689.25,4.12,29.46,689.25,13.52,0,0,subject 005 A1.xlsx
,5,A1,9,80.21,9.26,0.15,9.29,23.04,748.04,4.69,53.78,748.04,18.64,0,0,subject 005 A1.xlsx
,5,A1,10,78.99,7.27,0.12,4.67,8.77,759.63,6.31,55.06,759.63,29.52,9,11.69,subject 005 A1.xlsx
,5,A2,1,81.76,14.6,0.24,24.57,43.77,733.9,5.51,63.62,733.9,21.66,2,2.5,subject 005 A2.xlsx
,5,A2,2,80.53,12.22,0.2,19.11,49.68,745.09,5.59,52.14,745.09,22.92,2,2.56,subject 005 A2.xlsx
,5,A2,3,85.28,14.13,0.24,13.34,26.04,703.59,4.72,28.85,703.59,19.09,1,1.2,subject 005 A2.xlsx
